"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","TURNOVER_SIZEBAND","TURNOVER_SIZEBAND_NAME","TURNOVER_SIZEBAND_CODE","TURNOVER_SIZEBAND_TYPE","TURNOVER_SIZEBAND_TYPECODE","TURNOVER_SIZEBAND_SORTORDER","LEGAL_STATUS","LEGAL_STATUS_NAME","LEGAL_STATUS_CODE","LEGAL_STATUS_TYPE","LEGAL_STATUS_TYPECODE","LEGAL_STATUS_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"1245708449","Camden 001","E02000166","2011 super output areas - middle layer",297,0,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708449d146800695d0d0d20100",0,28
"2021","2021","2021","date",0,0,"1245708450","Camden 002","E02000167","2011 super output areas - middle layer",297,1,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708450d146800695d0d0d20100",1,28
"2021","2021","2021","date",0,0,"1245708451","Camden 003","E02000168","2011 super output areas - middle layer",297,2,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708451d146800695d0d0d20100",2,28
"2021","2021","2021","date",0,0,"1245708452","Camden 004","E02000169","2011 super output areas - middle layer",297,3,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708452d146800695d0d0d20100",3,28
"2021","2021","2021","date",0,0,"1245708453","Camden 005","E02000170","2011 super output areas - middle layer",297,4,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708453d146800695d0d0d20100",4,28
"2021","2021","2021","date",0,0,"1245708454","Camden 006","E02000171","2011 super output areas - middle layer",297,5,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708454d146800695d0d0d20100",5,28
"2021","2021","2021","date",0,0,"1245708455","Camden 007","E02000172","2011 super output areas - middle layer",297,6,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708455d146800695d0d0d20100",6,28
"2021","2021","2021","date",0,0,"1245708456","Camden 008","E02000173","2011 super output areas - middle layer",297,7,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708456d146800695d0d0d20100",7,28
"2021","2021","2021","date",0,0,"1245708457","Camden 009","E02000174","2011 super output areas - middle layer",297,8,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708457d146800695d0d0d20100",8,28
"2021","2021","2021","date",0,0,"1245708458","Camden 010","E02000175","2011 super output areas - middle layer",297,9,"146800695","55 : Accommodation","55","SIC 2007 division (2 digit)",35,0,"0","Total","0","turnover sizeband",1000,0,"0","Total","0","legal status",1000,0,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-199d1d32336e0d1245708458d146800695d0d0d20100",9,28
